CLIENT ID,NB PRODS,ORDER ID,FRUIT_PRODUCT
18070505,5,671907264,Apple
18070505,10,671907264,Orange
18070505,5,671907264,Kiwi
18070505,10,671907264,Pear
18070505,5,671907264,Cheery
18071016,5,675229714,Watermelon
18071016,10,675229714,Orange
18071016,10,675229714,Strawberry
18071016,5,675229714,Nectarine
18071016,15,675229714,Cheery
18071016,5,675229714,Grape
18071233,3,673537725,Mango
18071233,3,673537725,Apple
18071233,3,673537725,Blueberry
18071233,3,673537725,Pomegranate
18071233,9,673537725,Cheery
18071233,3,673537725,Nectarine
18071233,3,673537725,Nuwe Fruit
18071233,3,673537725,Devil Fruit
18071668,2,676680651,Blueberry
18071668,2,676680651,Plum
18071668,2,676680651,Orange
18071668,4,676680651,Nectarine
18071668,6,667987414,Nectarine
18071668,2,676680651,Devil Fruit
18071668,3,676680651,Nuwe Fruit
18072186,5,676679128,Papaya
18072186,10,676679128,Mango
18072741,5,672666156,Blueberry
18072741,4,672666156,Watermelon
18072741,1,672666156,Jackfruit
18072741,4,672666156,Devil Fruit
18072741,3,672666156,Kiwi
18072741,3,672666156,Pineapple
18072797,1,670773234,Apple
18072797,3,670773234,Lemon
18072797,1,670773234,Nuwe Fruit
18072797,4,670773234,Strawberry
18072797,5,670773234,Pear
18072797,1,670773234,Grape
18073169,3,675518868,Kiwi
18073169,4,675518868,Lemon
18073169,7,675518868,Cheery
18073169,8,675518868,Nuwe Fruit
18073169,3,675518868,Kiwi
18073366,1,677930363,Apple
18073366,2,677930363,Watermelon
18073366,1,677930363,Nectarine
18073366,1,677930363,Cheery
18073426,3,677930991,Papaya
18073426,2,672185277,Lime
18073426,2,677930991,Lime
18073426,1,677930991,Mango
18073426,5,672185277,Papaya
18073426,3,672185277,Orange
18073426,4,677930991,Orange
18073426,5,672185277,Nectarine
18073426,4,677930991,Nectarine
18073426,2,677930991,Pear
18073426,1,677930991,Lemon
18073426,4,677930991,Nuwe Fruit
18073426,4,677930991,Apricot
18073426,5,672185277,Nuwe Fruit
18074959,5,674563755,Lime
18074959,5,674563755,Kiwi
18074959,5,674563755,Cheery
18074959,10,674563755,Orange
18074959,10,674563755,Pineapple
18075067,20,671019507,Coconut
18075067,10,670783335,Lemon
18075067,30,670783335,Cheery
18075067,20,671019507,Cheery
18075616,5,671022713,Coconut
18075616,2,671022713,Apple
18075616,5,671022713,Watermelon
18075616,10,671022713,Pear
18075616,18,671022713,Cheery
18076212,2,675521852,Coconut
18076212,2,675521852,Apple
18076212,3,675521852,Pear
18076212,2,675521852,Orange
18076212,2,675521852,Jackfruit
18076212,2,675521852,Watermelon
18076212,4,675521852,Cheery
18076212,2,675521852,Apricot
18076212,2,675521852,Strawberry
18076212,2,675521852,Pineapple
18076212,2,675521852,Kiwi
18076686,1,669474234,Apple
18076686,4,669474234,Kiwi
18076686,10,669474234,Orange
18076826,1,677672979,Melon
18076826,1,677672979,Apple
18076826,3,677672979,Banana
18076826,2,677672979,Orange
18076826,3,677672979,Nectarine
18076826,3,677672979,Orange
18076826,3,677672979,Kiwi
18076826,1,677672979,Strawberry
18076826,3,677672979,Apricot
18076826,2,677672979,Kiwi
18076826,2,677672979,Nuwe Fruit
18076826,1,677672979,Grape
18078532,3,672898590,Nectarine
18078532,3,672898590,Nuwe Fruit
18079801,2,668406819,Melon
18079801,1,668406819,Lime
18079801,1,668406819,Grape
18079801,5,668406819,Cheery
18079801,5,668406819,Lemon
18079801,5,668406819,Pear
18079801,1,668406819,Pineapple
18079801,5,668406819,Nuwe Fruit
18080193,4,671514349,Coconut
18080193,10,671514349,Banana
18080193,2,671514349,Cheery
18080439,10,667990361,Coconut
18080439,10,667990361,Lemon
18080621,2,668690851,Lemon
18080621,4,668690851,Cheery
18080902,10,675221777,Kiwi
18080902,5,675221777,Grape
18080982,1,671024665,Mango
18080982,3,671024665,Banana
18080982,3,671024665,Kiwi
18080982,5,676414331,Grape
18080982,1,671024665,Lemon
18081150,3,667261173,Kiwi
18081150,3,667261173,Nuwe Fruit
18081644,10,671514829,Banana
18081644,10,671514829,Cheery
18081644,10,671514829,Nectarine
18081644,10,671514829,Nuwe Fruit
18081644,10,671514829,Pear
18084795,2,669206433,Coconut
18084795,3,669206433,Pear
18084795,10,669206433,Lemon
18084795,5,669206433,Kiwi
18085027,1,667270285,Apple
18085027,1,667270285,Mango
18085027,1,667270285,Plum
18085027,3,667270285,Kiwi
18085027,2,667270285,Orange
18085027,1,667270285,Cheery
18085027,3,667270285,Pomegranate
18085027,2,667270285,Orange
18085027,1,667270285,Lemon
18085027,2,667270285,Pear
18085027,1,667270285,Grape
18085027,2,667270285,Apricot
18085266,2,668944010,Apple
18085266,10,668944010,Nectarine
18085266,20,670782676,Nectarine
18085266,18,668944010,Cheery
18085266,4,675227823,Lemon
18085385,10,670184786,Apple
18085385,10,670184786,Grape
18086246,3,674337749,Apple
18086246,1,674337749,Grape
18087154,2,672897644,Blueberry
18087154,2,672897644,Lime
18087154,2,672897644,Apple
18087154,3,672897644,Watermelon
18087154,3,672897644,Cheery
18087154,3,672897644,Nectarine
18087154,2,672897644,Devil Fruit
18087154,3,672897644,Pineapple
18087911,5,673843543,Mango
18087911,5,673843543,Lemon
18089162,20,667496526,Orange
18089162,20,667496526,Nuwe Fruit
18089162,20,667496526,Apricot
18090541,20,671024648,Cheery
18090541,20,671024648,Kiwi
18090541,10,671024648,Lemon
18090746,5,670188930,Plum
18090746,1,670188930,Apple
18090746,2,670188930,Kiwi
18090746,7,670188930,Orange
18090746,4,670188930,Lemon
18090746,6,670188930,Apricot
18090746,3,670188930,Devil Fruit
18090746,2,670188930,Grape
18090840,40,667141810,Nectarine
18090840,40,673547644,Nectarine
18090840,-40,667141810,Nectarine
18090919,10,675229237,Orange
18090919,10,675229237,Nuwe Fruit
18091684,5,666906757,Orange
18091684,10,666906757,Lemon
18091684,10,666906757,Pear
18091900,5,668685762,Apple
18091900,5,668685762,Grape
18092193,11,667267059,Orange
18092193,2,667267059,Orange
18092193,7,667267059,Lemon
18092431,20,673542631,Mango
18093048,2,667262443,Lime
18093048,2,667262443,Nectarine
18093507,5,674335855,Melon
18093507,2,667141516,Melon
18093507,5,667141516,Watermelon
18093507,5,674335855,Kiwi
18093507,3,667141516,Pear
18093507,10,667141516,Cheery
18093507,10,674335855,Cheery
18094149,4,670202364,Cheery
18094702,20,673539578,Kiwi
18094884,5,677675849,Lime
18094884,5,677675849,Coconut
18094884,1,677675849,Apple
18094884,1,677675849,Watermelon
18094884,5,677675849,Orange
18094884,5,677675849,Nectarine
18095648,4,669203188,Pear
18095648,4,677677280,Pear
18095648,4,669203188,Devil Fruit
18095648,4,677677280,Devil Fruit
18095741,10,669200322,Pear
18095741,10,669200322,Cheery
18095765,20,676136801,Orange
18095806,2,671283335,Mango
18095806,4,671283335,Nectarine
18095806,2,671283335,Cheery
18095806,2,671283335,Orange
18096712,5,672666966,Lemon
18096712,3,667739119,Lemon
18096712,5,672666966,Apricot
18096712,2,667739119,Apricot
18096745,7,676146423,Coconut
18096745,4,676146423,Lemon
18096745,7,676146423,Cheery
18096745,7,676146423,Orange
18096745,5,676146423,Kiwi
18098385,20,672189001,Lime
18098385,15,672189001,Devil Fruit
18098701,4,674092946,Orange
18098701,3,674092946,Kiwi
18098701,3,674092946,Lemon
18098964,5,672905516,Orange
18098964,10,672905516,Nectarine
18098964,5,672905516,Cheery
18098964,5,672905516,Apricot
18098964,5,672905516,Nuwe Fruit
18099511,15,667751145,Orange
18099511,15,667751145,Cheery
18100349,5,669197414,Orange
18100349,5,669197414,Kiwi
18100422,1,675219147,Apple
18100422,6,675219147,Orange
18100422,15,675219147,Lemon
18100422,1,675219147,Grape
18100422,7,675219147,Apricot
18100470,4,673835283,Coconut
18100470,4,673835283,Apple
18100470,2,673835283,Mango
18100470,4,673835283,Watermelon
18100470,4,673835283,Apricot
18100470,4,673835283,Nectarine
18100470,4,673835283,Pomegranate
18100470,4,673835283,Grape
18101138,4,672663471,Blueberry
18101138,2,672663471,Orange
18101138,2,672663471,Banana
18101138,1,672663471,Kiwi
18101138,1,672663471,Strawberry
18101166,2,670192285,Melon
18101166,2,670192285,Orange
18101166,2,670192285,Cheery
18101166,2,670192285,Nuwe Fruit
18101166,1,670192285,Devil Fruit
18101166,1,670192285,Strawberry
18101318,6,673145959,Kiwi
18101318,2,673145959,Orange
18101318,1,673145959,Grape
18101318,1,673145959,Lemon
18101347,5,677110406,Papaya
18101347,5,677110406,Banana
18101347,5,677110406,Kiwi
18101347,5,677110406,Pomegranate
18101347,15,677110406,Lemon
18101592,1,667982431,Lime
18101592,1,667982431,Plum
18101592,1,667982431,Orange
18101592,1,667982431,Pomegranate
18101592,1,667982431,Nuwe Fruit
18101679,10,675228767,Kiwi
18101679,10,675228767,Nectarine
18102594,1,675879875,Coconut
18102594,3,675879875,Papaya
18102594,3,675879875,Mango
18102594,1,675879875,Orange
18102594,1,675879875,Banana
18102594,3,675879875,Kiwi
18102594,2,675879875,Nectarine
18102594,2,675879875,Cheery
18102594,1,675879875,Orange
18102594,5,675879875,Lemon
18102594,4,675879875,Pomegranate
18102594,2,675879875,Pear
18102594,1,675879875,Apricot
18102594,1,675879875,Devil Fruit
18103225,8,673832279,Kiwi
18103225,4,673832279,Cheery
18103225,4,673832279,Lemon
18103225,4,675522628,Pear
18103225,4,673832279,Pear
18103225,4,667139143,Pear
18105237,10,676410165,Papaya
18105237,5,676410165,Kiwi
18105237,10,676410165,Lemon
18105237,5,676410165,Pomegranate
18105250,10,669482552,Nuwe Fruit
18105888,3,670201741,Pomegranate
18105888,2,670201741,Cheery
18105888,5,670201741,Lemon
18105955,1,676681958,Apple
18105955,3,676681958,Blueberry
18105955,1,676681958,Kiwi
18105955,1,676681958,Strawberry
18105955,1,676681958,Lemon
18105955,3,676681958,Pomegranate
18105999,10,671281999,Orange
18105999,10,671281999,Cheery
18106880,2,670774213,Apple
18106880,4,670774213,Banana
18106880,2,670774213,Grape
18106893,8,674087173,Orange
18106893,7,674087173,Pear
18106893,5,674087173,Lemon
18107753,6,668405045,Pear
18107753,7,668405045,Nectarine
18107753,7,668405045,Nuwe Fruit
18108494,1,670185079,Mango
18108494,2,670185079,Apple
18108494,2,670185079,Kiwi
18108494,2,670185079,Banana
18108494,3,670185079,Orange
18108494,3,670185079,Apricot
18108494,2,670185079,Grape
18109060,2,673143004,Cheery
18109060,2,673143004,Orange
18109339,20,668942206,Papaya
